word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13
presence,0,0,0.001160172,0,0,0,0,0,0,0,0,0,0,0
action,0.0042096742,0,0.002320344,0,0,0.0075163037,0,0,0,0,0.0019282112,0,0.0010048905,0.0015098138
united,0,0,0.020541869,0.00010048232,0.0042008903,0,0,0,0.001037037,0,0.0061554435,0.016893399,0,0
speak,0.00068811981,0.00052650053,0,0.0020096463,0,0,0,0,0,0,0.0018540492,0,0,0.00015098138
act,0,0.0015795016,0,0.00010048232,0.0018182958,0.0069636344,0.001940523,0,0.0078518519,0,0.0033372886,0,0.0029476787,0
serve,0.0010928962,0.00052650053,0,0.0012560289,0,0,0,0,0,0.0034646684,0.0017057253,0,0,0.00080523402
itself,0.0026310463,0,0.00006824541,0,0,0.000036844626,0,0,0,0.00032229474,0.0014090774,0.0006690455,0,0.0022143936
energies,0,0,0,0,0,0,0.000097026149,0,0,0,0,0.00055753791,0,0.00050327126
forces,0,0,0.013034873,0,0,0,0,0,0,0.015550721,0,0,0.0012058686,0
distribution,0,0,0,0,0,0.00040529089,0.0012128269,0,0,0,0,0,0,0
practical,0.0016191054,0,0,0,0,0.00062635865,0,0,0,0,0,0,0.00066992698,0
matter,0.0036834649,0.0015795016,0,0,0,0,0,0,0,0,0,0,0,0.00070457977
ways,0,0,0,0,0,0,0.0011643138,0,0.0011111111,0,0,0.0020628903,0,0.0027679919
fully,0.0018214936,0,0,0,0.00050159885,0.00040529089,0,0.0012482524,0,0,0.00088994364,0,0.0012728613,0.00025163563
use,0.002671524,0.0022230022,0,0,0,0.0001473785,0.0014068792,0,0.00081481481,0.0032229474,0,0.0006690455,0.01018289,0
distribute,0,0,0,0,0,0,0.00029107845,0,0,0,0,0,0.00033496349,0
neither,0.0012143291,0,0,0,0,0,0,0,0,0,0,0,0,0.0014091595
willing,0.0012548067,0,0,0,0,0,0,0,0.0013333333,0,0,0.0012265834,0,0
wish,0.00222627,0,0.00006824541,0.0003516881,0,0,0,0,0,0,0,0,0,0.00025163563
greatly,0,0,0.00040947246,0,0,0.0007000479,0.001940523,0,0,0.0011280316,0,0,0,0
generously,0,0,0,0,0,0.00029475701,0,0,0,0.00032229474,0,0,0,0
prepared,0.00097146327,0,0,0,0,0,0,0,0,0.0016920474,0,0.0020071365,0,0
mobilize,0,0,0,0,0,0,0,0,0,0.00088631053,0,0,0.00020097809,0
